date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:39:08	7070/7070	---M-Z	200	added ('OK')	text/html	date:Sat,%2011%20Nov%202023%2003:14:55%20GMT	https://aspend.xyz/index.html	C:/Users/Omar/Desktop/AYAYAYA/aspend/aspend.xyz/index.html	(from )
12:39:08	10712/10712	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2002%20Dec%202023%2009:39:07%20GMT	https://aspend.xyz/robots.txt		(from )
12:39:08	19289/19289	---M-Z	200	added ('OK')	image/png	date:Sat,%2011%20Nov%202023%2003:14:55%20GMT	https://aspend.xyz/assets/index.png	C:/Users/Omar/Desktop/AYAYAYA/aspend/aspend.xyz/assets/index.png	(from https://aspend.xyz/index.html)
12:39:09	9511/9511	---M-Z	200	added ('OK')	text/css	date:Sat,%2011%20Nov%202023%2003:14:55%20GMT	https://aspend.xyz/css/style.css	C:/Users/Omar/Desktop/AYAYAYA/aspend/aspend.xyz/css/style.css	(from https://aspend.xyz/index.html)
12:39:09	155758/155758	---MCZ	200	added ('OK')	text/css	etag:W/%22a15c2ac3234aa8f6064ef9c1f7383c37%22	https://stackpath.bootstrapcdn.com/bootstrap/4.3.1/css/bootstrap.min.css	C:/Users/Omar/Desktop/AYAYAYA/aspend/stackpath.bootstrapcdn.com/bootstrap/4.3.1/css/bootstrap.min.css	(from https://aspend.xyz/index.html)
12:39:09	58072/58072	---MCZ	200	added ('OK')	application/javascript	etag:W/%22e1d98d47689e00f8ecbc5d9f61bdb42e%22	https://stackpath.bootstrapcdn.com/bootstrap/4.3.1/js/bootstrap.min.js	C:/Users/Omar/Desktop/AYAYAYA/aspend/stackpath.bootstrapcdn.com/bootstrap/4.3.1/js/bootstrap.min.js	(from https://aspend.xyz/index.html)
12:39:09	7401/7401	---M-Z	200	added ('OK')	text/javascript	date:Sat,%2011%20Nov%202023%2003:14:55%20GMT	https://aspend.xyz/js/t.min.js	C:/Users/Omar/Desktop/AYAYAYA/aspend/aspend.xyz/js/t.min.js	(from https://aspend.xyz/index.html)
12:39:10	57095/57095	---M-Z	200	added ('OK')	text/css	date:Sat,%2011%20Nov%202023%2003:14:55%20GMT	https://aspend.xyz/css/animate.css	C:/Users/Omar/Desktop/AYAYAYA/aspend/aspend.xyz/css/animate.css	(from https://aspend.xyz/index.html)
12:39:10	8155/8155	---M-Z	200	added ('OK')	text/javascript	date:Sat,%2011%20Nov%202023%2003:14:55%20GMT	https://aspend.xyz/js/wow.min.js	C:/Users/Omar/Desktop/AYAYAYA/aspend/aspend.xyz/js/wow.min.js	(from https://aspend.xyz/index.html)
12:39:10	9686/9686	---M-Z	200	added ('OK')	text/html	date:Sat,%2011%20Nov%202023%2003:14:55%20GMT	https://aspend.xyz/about.html	C:/Users/Omar/Desktop/AYAYAYA/aspend/aspend.xyz/about.html	(from https://aspend.xyz/index.html)
12:39:10	7976/7976	---M-Z	200	added ('OK')	text/html	date:Sat,%2011%20Nov%202023%2003:14:55%20GMT	https://aspend.xyz/brew.html	C:/Users/Omar/Desktop/AYAYAYA/aspend/aspend.xyz/brew.html	(from https://aspend.xyz/index.html)
12:39:11	115897/115897	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03e71-1c4b9%22	https://cdnjs.cloudflare.com/ajax/libs/gsap/2.1.2/TweenMax.min.js	C:/Users/Omar/Desktop/AYAYAYA/aspend/cdnjs.cloudflare.com/ajax/libs/gsap/2.1.2/TweenMax.min.js	(from https://aspend.xyz/index.html)
12:39:11	280364/280364	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-4472c%22	https://code.jquery.com/jquery-3.4.1.js	C:/Users/Omar/Desktop/AYAYAYA/aspend/code.jquery.com/jquery-3.4.1.js	(from https://aspend.xyz/index.html)
